"año_mes","rubro","Cantidad"
2015-06-01,"Combustibles-Producción",5
2015-06-01,"Litio",9
2015-06-01,"Metalíferos",47
2015-06-01,"Minerales no clasificados previamente",218
2015-06-01,"No metaliferos",86
2015-06-01,"Rocas de aplicación",366
2015-06-01,"Servicios mineros y actividades relacionadas",303
2015-07-01,"Combustibles-Producción",5
2015-07-01,"Litio",9
2015-07-01,"Metalíferos",47
2015-07-01,"Minerales no clasificados previamente",214
2015-07-01,"No metaliferos",83
2015-07-01,"Rocas de aplicación",365
2015-07-01,"Servicios mineros y actividades relacionadas",303
2015-08-01,"Combustibles-Producción",5
2015-08-01,"Litio",9
2015-08-01,"Metalíferos",48
2015-08-01,"Minerales no clasificados previamente",216
2015-08-01,"No metaliferos",84
2015-08-01,"Rocas de aplicación",366
2015-08-01,"Servicios mineros y actividades relacionadas",305
2015-09-01,"Combustibles-Producción",5
2015-09-01,"Litio",9
2015-09-01,"Metalíferos",49
2015-09-01,"Minerales no clasificados previamente",219
2015-09-01,"No metaliferos",85
2015-09-01,"Rocas de aplicación",363
2015-09-01,"Servicios mineros y actividades relacionadas",302
2015-10-01,"Combustibles-Producción",5
2015-10-01,"Litio",9
2015-10-01,"Metalíferos",49
2015-10-01,"Minerales no clasificados previamente",221
2015-10-01,"No metaliferos",85
2015-10-01,"Rocas de aplicación",368
2015-10-01,"Servicios mineros y actividades relacionadas",303
2015-11-01,"Combustibles-Producción",5
2015-11-01,"Litio",9
2015-11-01,"Metalíferos",49
2015-11-01,"Minerales no clasificados previamente",219
2015-11-01,"No metaliferos",86
2015-11-01,"Rocas de aplicación",371
2015-11-01,"Servicios mineros y actividades relacionadas",316
2015-12-01,"Combustibles-Producción",5
2015-12-01,"Litio",9
2015-12-01,"Metalíferos",49
2015-12-01,"Minerales no clasificados previamente",214
2015-12-01,"No metaliferos",87
2015-12-01,"Rocas de aplicación",371
2015-12-01,"Servicios mineros y actividades relacionadas",319
2016-01-01,"Combustibles-Producción",5
2016-01-01,"Litio",9
2016-01-01,"Metalíferos",47
2016-01-01,"Minerales no clasificados previamente",215
2016-01-01,"No metaliferos",88
2016-01-01,"Rocas de aplicación",366
2016-01-01,"Servicios mineros y actividades relacionadas",310
2016-02-01,"Combustibles-Producción",5
2016-02-01,"Litio",9
2016-02-01,"Metalíferos",47
2016-02-01,"Minerales no clasificados previamente",216
2016-02-01,"No metaliferos",89
2016-02-01,"Rocas de aplicación",365
2016-02-01,"Servicios mineros y actividades relacionadas",312
2016-03-01,"Combustibles-Producción",5
2016-03-01,"Litio",10
2016-03-01,"Metalíferos",47
2016-03-01,"Minerales no clasificados previamente",210
2016-03-01,"No metaliferos",89
2016-03-01,"Rocas de aplicación",366
2016-03-01,"Servicios mineros y actividades relacionadas",310
2016-04-01,"Combustibles-Producción",5
2016-04-01,"Litio",10
2016-04-01,"Metalíferos",46
2016-04-01,"Minerales no clasificados previamente",210
2016-04-01,"No metaliferos",87
2016-04-01,"Rocas de aplicación",363
2016-04-01,"Servicios mineros y actividades relacionadas",306
2016-05-01,"Combustibles-Producción",5
2016-05-01,"Litio",10
2016-05-01,"Metalíferos",46
2016-05-01,"Minerales no clasificados previamente",209
2016-05-01,"No metaliferos",88
2016-05-01,"Rocas de aplicación",363
2016-05-01,"Servicios mineros y actividades relacionadas",303
2016-06-01,"Combustibles-Producción",5
2016-06-01,"Litio",10
2016-06-01,"Metalíferos",46
2016-06-01,"Minerales no clasificados previamente",209
2016-06-01,"No metaliferos",89
2016-06-01,"Rocas de aplicación",368
2016-06-01,"Servicios mineros y actividades relacionadas",301
2016-07-01,"Combustibles-Producción",5
2016-07-01,"Litio",11
2016-07-01,"Metalíferos",46
2016-07-01,"Minerales no clasificados previamente",210
2016-07-01,"No metaliferos",89
2016-07-01,"Rocas de aplicación",367
2016-07-01,"Servicios mineros y actividades relacionadas",306
2016-08-01,"Combustibles-Producción",5
2016-08-01,"Litio",11
2016-08-01,"Metalíferos",44
2016-08-01,"Minerales no clasificados previamente",208
2016-08-01,"No metaliferos",88
2016-08-01,"Rocas de aplicación",368
2016-08-01,"Servicios mineros y actividades relacionadas",303
2016-09-01,"Combustibles-Producción",5
2016-09-01,"Litio",11
2016-09-01,"Metalíferos",45
2016-09-01,"Minerales no clasificados previamente",209
2016-09-01,"No metaliferos",89
2016-09-01,"Rocas de aplicación",371
2016-09-01,"Servicios mineros y actividades relacionadas",302
2016-10-01,"Combustibles-Producción",5
2016-10-01,"Litio",11
2016-10-01,"Metalíferos",44
2016-10-01,"Minerales no clasificados previamente",209
2016-10-01,"No metaliferos",91
2016-10-01,"Rocas de aplicación",370
2016-10-01,"Servicios mineros y actividades relacionadas",303
2016-11-01,"Combustibles-Producción",5
2016-11-01,"Litio",12
2016-11-01,"Metalíferos",46
2016-11-01,"Minerales no clasificados previamente",210
2016-11-01,"No metaliferos",91
2016-11-01,"Rocas de aplicación",369
2016-11-01,"Servicios mineros y actividades relacionadas",316
2016-12-01,"Combustibles-Producción",5
2016-12-01,"Litio",12
2016-12-01,"Metalíferos",47
2016-12-01,"Minerales no clasificados previamente",209
2016-12-01,"No metaliferos",91
2016-12-01,"Rocas de aplicación",369
2016-12-01,"Servicios mineros y actividades relacionadas",315
2017-01-01,"Combustibles-Producción",5
2017-01-01,"Litio",12
2017-01-01,"Metalíferos",48
2017-01-01,"Minerales no clasificados previamente",203
2017-01-01,"No metaliferos",91
2017-01-01,"Rocas de aplicación",371
2017-01-01,"Servicios mineros y actividades relacionadas",300
2017-02-01,"Combustibles-Producción",5
2017-02-01,"Litio",12
2017-02-01,"Metalíferos",50
2017-02-01,"Minerales no clasificados previamente",203
2017-02-01,"No metaliferos",90
2017-02-01,"Rocas de aplicación",370
2017-02-01,"Servicios mineros y actividades relacionadas",302
2017-03-01,"Combustibles-Producción",5
2017-03-01,"Litio",13
2017-03-01,"Metalíferos",49
2017-03-01,"Minerales no clasificados previamente",201
2017-03-01,"No metaliferos",91
2017-03-01,"Rocas de aplicación",371
2017-03-01,"Servicios mineros y actividades relacionadas",301
2017-04-01,"Combustibles-Producción",5
2017-04-01,"Litio",13
2017-04-01,"Metalíferos",50
2017-04-01,"Minerales no clasificados previamente",198
2017-04-01,"No metaliferos",88
2017-04-01,"Rocas de aplicación",374
2017-04-01,"Servicios mineros y actividades relacionadas",302
2017-05-01,"Combustibles-Producción",4
2017-05-01,"Litio",14
2017-05-01,"Metalíferos",51
2017-05-01,"Minerales no clasificados previamente",197
2017-05-01,"No metaliferos",87
2017-05-01,"Rocas de aplicación",372
2017-05-01,"Servicios mineros y actividades relacionadas",304
2017-06-01,"Combustibles-Producción",4
2017-06-01,"Litio",14
2017-06-01,"Metalíferos",52
2017-06-01,"Minerales no clasificados previamente",198
2017-06-01,"No metaliferos",87
2017-06-01,"Rocas de aplicación",371
2017-06-01,"Servicios mineros y actividades relacionadas",302
2017-07-01,"Combustibles-Producción",4
2017-07-01,"Litio",14
2017-07-01,"Metalíferos",52
2017-07-01,"Minerales no clasificados previamente",199
2017-07-01,"No metaliferos",87
2017-07-01,"Rocas de aplicación",370
2017-07-01,"Servicios mineros y actividades relacionadas",302
2017-08-01,"Combustibles-Producción",4
2017-08-01,"Litio",15
2017-08-01,"Metalíferos",52
2017-08-01,"Minerales no clasificados previamente",198
2017-08-01,"No metaliferos",87
2017-08-01,"Rocas de aplicación",372
2017-08-01,"Servicios mineros y actividades relacionadas",303
2017-09-01,"Combustibles-Producción",4
2017-09-01,"Litio",15
2017-09-01,"Metalíferos",52
2017-09-01,"Minerales no clasificados previamente",197
2017-09-01,"No metaliferos",87
2017-09-01,"Rocas de aplicación",368
2017-09-01,"Servicios mineros y actividades relacionadas",303
2017-10-01,"Combustibles-Producción",4
2017-10-01,"Litio",16
2017-10-01,"Metalíferos",53
2017-10-01,"Minerales no clasificados previamente",200
2017-10-01,"No metaliferos",87
2017-10-01,"Rocas de aplicación",370
2017-10-01,"Servicios mineros y actividades relacionadas",309
2017-11-01,"Combustibles-Producción",4
2017-11-01,"Litio",16
2017-11-01,"Metalíferos",53
2017-11-01,"Minerales no clasificados previamente",202
2017-11-01,"No metaliferos",88
2017-11-01,"Rocas de aplicación",371
2017-11-01,"Servicios mineros y actividades relacionadas",326
2017-12-01,"Combustibles-Producción",4
2017-12-01,"Litio",16
2017-12-01,"Metalíferos",53
2017-12-01,"Minerales no clasificados previamente",199
2017-12-01,"No metaliferos",88
2017-12-01,"Rocas de aplicación",365
2017-12-01,"Servicios mineros y actividades relacionadas",327
2018-01-01,"Combustibles-Producción",4
2018-01-01,"Litio",16
2018-01-01,"Metalíferos",53
2018-01-01,"Minerales no clasificados previamente",194
2018-01-01,"No metaliferos",88
2018-01-01,"Rocas de aplicación",362
2018-01-01,"Servicios mineros y actividades relacionadas",319
2018-02-01,"Combustibles-Producción",4
2018-02-01,"Litio",17
2018-02-01,"Metalíferos",52
2018-02-01,"Minerales no clasificados previamente",195
2018-02-01,"No metaliferos",88
2018-02-01,"Rocas de aplicación",362
2018-02-01,"Servicios mineros y actividades relacionadas",316
2018-03-01,"Combustibles-Producción",4
2018-03-01,"Litio",17
2018-03-01,"Metalíferos",53
2018-03-01,"Minerales no clasificados previamente",196
2018-03-01,"No metaliferos",88
2018-03-01,"Rocas de aplicación",362
2018-03-01,"Servicios mineros y actividades relacionadas",312
2018-04-01,"Combustibles-Producción",4
2018-04-01,"Litio",17
2018-04-01,"Metalíferos",54
2018-04-01,"Minerales no clasificados previamente",196
2018-04-01,"No metaliferos",86
2018-04-01,"Rocas de aplicación",358
2018-04-01,"Servicios mineros y actividades relacionadas",315
2018-05-01,"Combustibles-Producción",4
2018-05-01,"Litio",17
2018-05-01,"Metalíferos",55
2018-05-01,"Minerales no clasificados previamente",198
2018-05-01,"No metaliferos",87
2018-05-01,"Rocas de aplicación",360
2018-05-01,"Servicios mineros y actividades relacionadas",315
2018-06-01,"Combustibles-Producción",4
2018-06-01,"Litio",16
2018-06-01,"Metalíferos",55
2018-06-01,"Minerales no clasificados previamente",196
2018-06-01,"No metaliferos",88
2018-06-01,"Rocas de aplicación",362
2018-06-01,"Servicios mineros y actividades relacionadas",314
2018-07-01,"Combustibles-Producción",4
2018-07-01,"Litio",17
2018-07-01,"Metalíferos",54
2018-07-01,"Minerales no clasificados previamente",195
2018-07-01,"No metaliferos",88
2018-07-01,"Rocas de aplicación",363
2018-07-01,"Servicios mineros y actividades relacionadas",320
2018-08-01,"Combustibles-Producción",4
2018-08-01,"Litio",17
2018-08-01,"Metalíferos",54
2018-08-01,"Minerales no clasificados previamente",195
2018-08-01,"No metaliferos",89
2018-08-01,"Rocas de aplicación",361
2018-08-01,"Servicios mineros y actividades relacionadas",322
2018-09-01,"Combustibles-Producción",4
2018-09-01,"Litio",17
2018-09-01,"Metalíferos",54
2018-09-01,"Minerales no clasificados previamente",190
2018-09-01,"No metaliferos",90
2018-09-01,"Rocas de aplicación",365
2018-09-01,"Servicios mineros y actividades relacionadas",322
2018-10-01,"Combustibles-Producción",4
2018-10-01,"Litio",19
2018-10-01,"Metalíferos",54
2018-10-01,"Minerales no clasificados previamente",191
2018-10-01,"No metaliferos",91
2018-10-01,"Rocas de aplicación",366
2018-10-01,"Servicios mineros y actividades relacionadas",324
2018-11-01,"Combustibles-Producción",4
2018-11-01,"Litio",19
2018-11-01,"Metalíferos",53
2018-11-01,"Minerales no clasificados previamente",191
2018-11-01,"No metaliferos",90
2018-11-01,"Rocas de aplicación",368
2018-11-01,"Servicios mineros y actividades relacionadas",337
2018-12-01,"Combustibles-Producción",4
2018-12-01,"Litio",19
2018-12-01,"Metalíferos",53
2018-12-01,"Minerales no clasificados previamente",193
2018-12-01,"No metaliferos",90
2018-12-01,"Rocas de aplicación",367
2018-12-01,"Servicios mineros y actividades relacionadas",334
2019-01-01,"Combustibles-Producción",4
2019-01-01,"Litio",20
2019-01-01,"Metalíferos",54
2019-01-01,"Minerales no clasificados previamente",196
2019-01-01,"No metaliferos",88
2019-01-01,"Rocas de aplicación",361
2019-01-01,"Servicios mineros y actividades relacionadas",323
2019-02-01,"Combustibles-Producción",4
2019-02-01,"Litio",21
2019-02-01,"Metalíferos",53
2019-02-01,"Minerales no clasificados previamente",196
2019-02-01,"No metaliferos",87
2019-02-01,"Rocas de aplicación",358
2019-02-01,"Servicios mineros y actividades relacionadas",325
2019-03-01,"Combustibles-Producción",4
2019-03-01,"Litio",21
2019-03-01,"Metalíferos",53
2019-03-01,"Minerales no clasificados previamente",193
2019-03-01,"No metaliferos",88
2019-03-01,"Rocas de aplicación",356
2019-03-01,"Servicios mineros y actividades relacionadas",332
2019-04-01,"Combustibles-Producción",3
2019-04-01,"Litio",21
2019-04-01,"Metalíferos",53
2019-04-01,"Minerales no clasificados previamente",191
2019-04-01,"No metaliferos",88
2019-04-01,"Rocas de aplicación",353
2019-04-01,"Servicios mineros y actividades relacionadas",329
2019-05-01,"Combustibles-Producción",3
2019-05-01,"Litio",20
2019-05-01,"Metalíferos",53
2019-05-01,"Minerales no clasificados previamente",194
2019-05-01,"No metaliferos",88
2019-05-01,"Rocas de aplicación",357
2019-05-01,"Servicios mineros y actividades relacionadas",330
2019-06-01,"Combustibles-Producción",4
2019-06-01,"Litio",20
2019-06-01,"Metalíferos",53
2019-06-01,"Minerales no clasificados previamente",194
2019-06-01,"No metaliferos",87
2019-06-01,"Rocas de aplicación",354
2019-06-01,"Servicios mineros y actividades relacionadas",331
2019-07-01,"Combustibles-Producción",4
2019-07-01,"Litio",20
2019-07-01,"Metalíferos",53
2019-07-01,"Minerales no clasificados previamente",195
2019-07-01,"No metaliferos",85
2019-07-01,"Rocas de aplicación",355
2019-07-01,"Servicios mineros y actividades relacionadas",331
2019-08-01,"Combustibles-Producción",3
2019-08-01,"Litio",19
2019-08-01,"Metalíferos",54
2019-08-01,"Minerales no clasificados previamente",199
2019-08-01,"No metaliferos",85
2019-08-01,"Rocas de aplicación",352
2019-08-01,"Servicios mineros y actividades relacionadas",331
2019-09-01,"Combustibles-Producción",4
2019-09-01,"Litio",18
2019-09-01,"Metalíferos",56
2019-09-01,"Minerales no clasificados previamente",196
2019-09-01,"No metaliferos",85
2019-09-01,"Rocas de aplicación",353
2019-09-01,"Servicios mineros y actividades relacionadas",336
2019-10-01,"Combustibles-Producción",4
2019-10-01,"Litio",20
2019-10-01,"Metalíferos",56
2019-10-01,"Minerales no clasificados previamente",195
2019-10-01,"No metaliferos",85
2019-10-01,"Rocas de aplicación",354
2019-10-01,"Servicios mineros y actividades relacionadas",333
2019-11-01,"Combustibles-Producción",4
2019-11-01,"Litio",20
2019-11-01,"Metalíferos",56
2019-11-01,"Minerales no clasificados previamente",196
2019-11-01,"No metaliferos",85
2019-11-01,"Rocas de aplicación",358
2019-11-01,"Servicios mineros y actividades relacionadas",346
2019-12-01,"Combustibles-Producción",4
2019-12-01,"Litio",20
2019-12-01,"Metalíferos",56
2019-12-01,"Minerales no clasificados previamente",193
2019-12-01,"No metaliferos",85
2019-12-01,"Rocas de aplicación",358
2019-12-01,"Servicios mineros y actividades relacionadas",345
2020-01-01,"Combustibles-Producción",4
2020-01-01,"Litio",20
2020-01-01,"Metalíferos",55
2020-01-01,"Minerales no clasificados previamente",189
2020-01-01,"No metaliferos",85
2020-01-01,"Rocas de aplicación",353
2020-01-01,"Servicios mineros y actividades relacionadas",339
2020-02-01,"Combustibles-Producción",4
2020-02-01,"Litio",20
2020-02-01,"Metalíferos",55
2020-02-01,"Minerales no clasificados previamente",187
2020-02-01,"No metaliferos",86
2020-02-01,"Rocas de aplicación",354
2020-02-01,"Servicios mineros y actividades relacionadas",339
2020-03-01,"Combustibles-Producción",4
2020-03-01,"Litio",20
2020-03-01,"Metalíferos",52
2020-03-01,"Minerales no clasificados previamente",186
2020-03-01,"No metaliferos",86
2020-03-01,"Rocas de aplicación",357
2020-03-01,"Servicios mineros y actividades relacionadas",339
2020-04-01,"Combustibles-Producción",4
2020-04-01,"Litio",20
2020-04-01,"Metalíferos",52
2020-04-01,"Minerales no clasificados previamente",188
2020-04-01,"No metaliferos",86
2020-04-01,"Rocas de aplicación",355
2020-04-01,"Servicios mineros y actividades relacionadas",334
2020-05-01,"Combustibles-Producción",4
2020-05-01,"Litio",20
2020-05-01,"Metalíferos",52
2020-05-01,"Minerales no clasificados previamente",190
2020-05-01,"No metaliferos",86
2020-05-01,"Rocas de aplicación",354
2020-05-01,"Servicios mineros y actividades relacionadas",337
2020-06-01,"Combustibles-Producción",4
2020-06-01,"Litio",20
2020-06-01,"Metalíferos",51
2020-06-01,"Minerales no clasificados previamente",188
2020-06-01,"No metaliferos",85
2020-06-01,"Rocas de aplicación",352
2020-06-01,"Servicios mineros y actividades relacionadas",338
2020-07-01,"Combustibles-Producción",4
2020-07-01,"Litio",20
2020-07-01,"Metalíferos",51
2020-07-01,"Minerales no clasificados previamente",184
2020-07-01,"No metaliferos",84
2020-07-01,"Rocas de aplicación",349
2020-07-01,"Servicios mineros y actividades relacionadas",335
2020-08-01,"Combustibles-Producción",4
2020-08-01,"Litio",20
2020-08-01,"Metalíferos",51
2020-08-01,"Minerales no clasificados previamente",183
2020-08-01,"No metaliferos",84
2020-08-01,"Rocas de aplicación",349
2020-08-01,"Servicios mineros y actividades relacionadas",333
2020-09-01,"Combustibles-Producción",4
2020-09-01,"Litio",20
2020-09-01,"Metalíferos",51
2020-09-01,"Minerales no clasificados previamente",182
2020-09-01,"No metaliferos",84
2020-09-01,"Rocas de aplicación",346
2020-09-01,"Servicios mineros y actividades relacionadas",333
2020-10-01,"Combustibles-Producción",4
2020-10-01,"Litio",20
2020-10-01,"Metalíferos",51
2020-10-01,"Minerales no clasificados previamente",182
2020-10-01,"No metaliferos",84
2020-10-01,"Rocas de aplicación",349
2020-10-01,"Servicios mineros y actividades relacionadas",332
2020-11-01,"Combustibles-Producción",4
2020-11-01,"Litio",20
2020-11-01,"Metalíferos",51
2020-11-01,"Minerales no clasificados previamente",185
2020-11-01,"No metaliferos",84
2020-11-01,"Rocas de aplicación",353
2020-11-01,"Servicios mineros y actividades relacionadas",341
2020-12-01,"Combustibles-Producción",4
2020-12-01,"Litio",20
2020-12-01,"Metalíferos",51
2020-12-01,"Minerales no clasificados previamente",184
2020-12-01,"No metaliferos",83
2020-12-01,"Rocas de aplicación",354
2020-12-01,"Servicios mineros y actividades relacionadas",340
2021-01-01,"Combustibles-Producción",4
2021-01-01,"Litio",20
2021-01-01,"Metalíferos",51
2021-01-01,"Minerales no clasificados previamente",183
2021-01-01,"No metaliferos",83
2021-01-01,"Rocas de aplicación",350
2021-01-01,"Servicios mineros y actividades relacionadas",329
2021-02-01,"Combustibles-Producción",4
2021-02-01,"Litio",19
2021-02-01,"Metalíferos",51
2021-02-01,"Minerales no clasificados previamente",188
2021-02-01,"No metaliferos",84
2021-02-01,"Rocas de aplicación",347
2021-02-01,"Servicios mineros y actividades relacionadas",330
2021-03-01,"Combustibles-Producción",4
2021-03-01,"Litio",19
2021-03-01,"Metalíferos",51
2021-03-01,"Minerales no clasificados previamente",189
2021-03-01,"No metaliferos",84
2021-03-01,"Rocas de aplicación",350
2021-03-01,"Servicios mineros y actividades relacionadas",333
2021-04-01,"Combustibles-Producción",4
2021-04-01,"Litio",19
2021-04-01,"Metalíferos",51
2021-04-01,"Minerales no clasificados previamente",186
2021-04-01,"No metaliferos",84
2021-04-01,"Rocas de aplicación",352
2021-04-01,"Servicios mineros y actividades relacionadas",334
2021-05-01,"Combustibles-Producción",4
2021-05-01,"Litio",19
2021-05-01,"Metalíferos",51
2021-05-01,"Minerales no clasificados previamente",184
2021-05-01,"No metaliferos",83
2021-05-01,"Rocas de aplicación",353
2021-05-01,"Servicios mineros y actividades relacionadas",337
2021-06-01,"Combustibles-Producción",4
2021-06-01,"Litio",19
2021-06-01,"Metalíferos",51
2021-06-01,"Minerales no clasificados previamente",183
2021-06-01,"No metaliferos",85
2021-06-01,"Rocas de aplicación",354
2021-06-01,"Servicios mineros y actividades relacionadas",336
2021-07-01,"Combustibles-Producción",4
2021-07-01,"Litio",20
2021-07-01,"Metalíferos",51
2021-07-01,"Minerales no clasificados previamente",182
2021-07-01,"No metaliferos",84
2021-07-01,"Rocas de aplicación",356
2021-07-01,"Servicios mineros y actividades relacionadas",336
2021-08-01,"Combustibles-Producción",4
2021-08-01,"Litio",20
2021-08-01,"Metalíferos",52
2021-08-01,"Minerales no clasificados previamente",183
2021-08-01,"No metaliferos",83
2021-08-01,"Rocas de aplicación",358
2021-08-01,"Servicios mineros y actividades relacionadas",341
2021-09-01,"Combustibles-Producción",4
2021-09-01,"Litio",20
2021-09-01,"Metalíferos",53
2021-09-01,"Minerales no clasificados previamente",187
2021-09-01,"No metaliferos",82
2021-09-01,"Rocas de aplicación",361
2021-09-01,"Servicios mineros y actividades relacionadas",338
2021-10-01,"Combustibles-Producción",4
2021-10-01,"Litio",20
2021-10-01,"Metalíferos",55
2021-10-01,"Minerales no clasificados previamente",192
2021-10-01,"No metaliferos",81
2021-10-01,"Rocas de aplicación",361
2021-10-01,"Servicios mineros y actividades relacionadas",341
2021-11-01,"Combustibles-Producción",4
2021-11-01,"Litio",20
2021-11-01,"Metalíferos",56
2021-11-01,"Minerales no clasificados previamente",193
2021-11-01,"No metaliferos",82
2021-11-01,"Rocas de aplicación",366
2021-11-01,"Servicios mineros y actividades relacionadas",358
2021-12-01,"Combustibles-Producción",4
2021-12-01,"Litio",20
2021-12-01,"Metalíferos",57
2021-12-01,"Minerales no clasificados previamente",191
2021-12-01,"No metaliferos",83
2021-12-01,"Rocas de aplicación",365
2021-12-01,"Servicios mineros y actividades relacionadas",357
2022-01-01,"Combustibles-Producción",4
2022-01-01,"Litio",20
2022-01-01,"Metalíferos",57
2022-01-01,"Minerales no clasificados previamente",190
2022-01-01,"No metaliferos",84
2022-01-01,"Rocas de aplicación",363
2022-01-01,"Servicios mineros y actividades relacionadas",346
2022-02-01,"Combustibles-Producción",4
2022-02-01,"Litio",20
2022-02-01,"Metalíferos",58
2022-02-01,"Minerales no clasificados previamente",188
2022-02-01,"No metaliferos",82
2022-02-01,"Rocas de aplicación",363
2022-02-01,"Servicios mineros y actividades relacionadas",348
2022-03-01,"Combustibles-Producción",3
2022-03-01,"Litio",21
2022-03-01,"Metalíferos",58
2022-03-01,"Minerales no clasificados previamente",187
2022-03-01,"No metaliferos",86
2022-03-01,"Rocas de aplicación",365
2022-03-01,"Servicios mineros y actividades relacionadas",348
2022-04-01,"Combustibles-Producción",3
2022-04-01,"Litio",22
2022-04-01,"Metalíferos",60
2022-04-01,"Minerales no clasificados previamente",188
2022-04-01,"No metaliferos",84
2022-04-01,"Rocas de aplicación",364
2022-04-01,"Servicios mineros y actividades relacionadas",347
2022-05-01,"Combustibles-Producción",3
2022-05-01,"Litio",22
2022-05-01,"Metalíferos",62
2022-05-01,"Minerales no clasificados previamente",192
2022-05-01,"No metaliferos",83
2022-05-01,"Rocas de aplicación",369
2022-05-01,"Servicios mineros y actividades relacionadas",347
2022-06-01,"Combustibles-Producción",3
2022-06-01,"Litio",22
2022-06-01,"Metalíferos",62
2022-06-01,"Minerales no clasificados previamente",193
2022-06-01,"No metaliferos",85
2022-06-01,"Rocas de aplicación",372
2022-06-01,"Servicios mineros y actividades relacionadas",346
2022-07-01,"Combustibles-Producción",3
2022-07-01,"Litio",22
2022-07-01,"Metalíferos",62
2022-07-01,"Minerales no clasificados previamente",193
2022-07-01,"No metaliferos",86
2022-07-01,"Rocas de aplicación",370
2022-07-01,"Servicios mineros y actividades relacionadas",343
2022-08-01,"Combustibles-Producción",3
2022-08-01,"Litio",23
2022-08-01,"Metalíferos",61
2022-08-01,"Minerales no clasificados previamente",198
2022-08-01,"No metaliferos",86
2022-08-01,"Rocas de aplicación",372
2022-08-01,"Servicios mineros y actividades relacionadas",351
2022-09-01,"Combustibles-Producción",3
2022-09-01,"Litio",23
2022-09-01,"Metalíferos",61
2022-09-01,"Minerales no clasificados previamente",198
2022-09-01,"No metaliferos",85
2022-09-01,"Rocas de aplicación",375
2022-09-01,"Servicios mineros y actividades relacionadas",354
2022-10-01,"Combustibles-Producción",3
2022-10-01,"Litio",24
2022-10-01,"Metalíferos",62
2022-10-01,"Minerales no clasificados previamente",192
2022-10-01,"No metaliferos",87
2022-10-01,"Rocas de aplicación",377
2022-10-01,"Servicios mineros y actividades relacionadas",349
2022-11-01,"Combustibles-Producción",3
2022-11-01,"Litio",24
2022-11-01,"Metalíferos",62
2022-11-01,"Minerales no clasificados previamente",191
2022-11-01,"No metaliferos",89
2022-11-01,"Rocas de aplicación",376
2022-11-01,"Servicios mineros y actividades relacionadas",354
2022-12-01,"Combustibles-Producción",3
2022-12-01,"Litio",24
2022-12-01,"Metalíferos",62
2022-12-01,"Minerales no clasificados previamente",196
2022-12-01,"No metaliferos",89
2022-12-01,"Rocas de aplicación",374
2022-12-01,"Servicios mineros y actividades relacionadas",348
2023-01-01,"Combustibles-Producción",3
2023-01-01,"Litio",24
2023-01-01,"Metalíferos",63
2023-01-01,"Minerales no clasificados previamente",197
2023-01-01,"No metaliferos",88
2023-01-01,"Rocas de aplicación",370
2023-01-01,"Servicios mineros y actividades relacionadas",346
2023-02-01,"Combustibles-Producción",3
2023-02-01,"Litio",24
2023-02-01,"Metalíferos",63
2023-02-01,"Minerales no clasificados previamente",199
2023-02-01,"No metaliferos",87
2023-02-01,"Rocas de aplicación",373
2023-02-01,"Servicios mineros y actividades relacionadas",348
2023-03-01,"Combustibles-Producción",3
2023-03-01,"Litio",24
2023-03-01,"Metalíferos",63
2023-03-01,"Minerales no clasificados previamente",201
2023-03-01,"No metaliferos",86
2023-03-01,"Rocas de aplicación",373
2023-03-01,"Servicios mineros y actividades relacionadas",352
2023-04-01,"Combustibles-Producción",3
2023-04-01,"Litio",24
2023-04-01,"Metalíferos",62
2023-04-01,"Minerales no clasificados previamente",200
2023-04-01,"No metaliferos",87
2023-04-01,"Rocas de aplicación",371
2023-04-01,"Servicios mineros y actividades relacionadas",353
2023-05-01,"Combustibles-Producción",3
2023-05-01,"Litio",23
2023-05-01,"Metalíferos",62
2023-05-01,"Minerales no clasificados previamente",200
2023-05-01,"No metaliferos",87
2023-05-01,"Rocas de aplicación",372
2023-05-01,"Servicios mineros y actividades relacionadas",359
2023-06-01,"Combustibles-Producción",3
2023-06-01,"Litio",23
2023-06-01,"Metalíferos",62
2023-06-01,"Minerales no clasificados previamente",205
2023-06-01,"No metaliferos",87
2023-06-01,"Rocas de aplicación",374
2023-06-01,"Servicios mineros y actividades relacionadas",360
2023-07-01,"Combustibles-Producción",3
2023-07-01,"Litio",23
2023-07-01,"Metalíferos",61
2023-07-01,"Minerales no clasificados previamente",206
2023-07-01,"No metaliferos",87
2023-07-01,"Rocas de aplicación",373
2023-07-01,"Servicios mineros y actividades relacionadas",361
2023-08-01,"Combustibles-Producción",3
2023-08-01,"Litio",23
2023-08-01,"Metalíferos",62
2023-08-01,"Minerales no clasificados previamente",205
2023-08-01,"No metaliferos",87
2023-08-01,"Rocas de aplicación",376
2023-08-01,"Servicios mineros y actividades relacionadas",363
2023-09-01,"Combustibles-Producción",3
2023-09-01,"Litio",23
2023-09-01,"Metalíferos",63
2023-09-01,"Minerales no clasificados previamente",206
2023-09-01,"No metaliferos",87
2023-09-01,"Rocas de aplicación",377
2023-09-01,"Servicios mineros y actividades relacionadas",368
2023-10-01,"Combustibles-Producción",3
2023-10-01,"Litio",23
2023-10-01,"Metalíferos",62
2023-10-01,"Minerales no clasificados previamente",208
2023-10-01,"No metaliferos",88
2023-10-01,"Rocas de aplicación",378
2023-10-01,"Servicios mineros y actividades relacionadas",375
2023-11-01,"Combustibles-Producción",3
2023-11-01,"Litio",23
