"año_mes","rubro","Cantidad"
2008-09-01,"Litio",3
2008-09-01,"Metalíferos",50
2008-09-01,"Minerales no clasificados previamente",211
2008-09-01,"No metaliferos",87
2008-09-01,"Rocas de aplicación",355
2008-09-01,"Servicios mineros y actividades relacionadas",259
2008-10-01,"Combustibles-Producción",16
2008-10-01,"Litio",3
2008-10-01,"Metalíferos",51
2008-10-01,"Minerales no clasificados previamente",215
2008-10-01,"No metaliferos",89
2008-10-01,"Rocas de aplicación",363
2008-10-01,"Servicios mineros y actividades relacionadas",257
2008-11-01,"Combustibles-Producción",18
2008-11-01,"Litio",3
2008-11-01,"Metalíferos",52
2008-11-01,"Minerales no clasificados previamente",217
2008-11-01,"No metaliferos",90
2008-11-01,"Rocas de aplicación",367
2008-11-01,"Servicios mineros y actividades relacionadas",270
2008-12-01,"Combustibles-Producción",18
2008-12-01,"Litio",2
2008-12-01,"Metalíferos",52
2008-12-01,"Minerales no clasificados previamente",215
2008-12-01,"No metaliferos",88
2008-12-01,"Rocas de aplicación",362
2008-12-01,"Servicios mineros y actividades relacionadas",272
2009-01-01,"Combustibles-Producción",18
2009-01-01,"Litio",3
2009-01-01,"Metalíferos",51
2009-01-01,"Minerales no clasificados previamente",213
2009-01-01,"No metaliferos",86
2009-01-01,"Rocas de aplicación",363
2009-01-01,"Servicios mineros y actividades relacionadas",247
2009-02-01,"Combustibles-Producción",22
2009-02-01,"Litio",3
2009-02-01,"Metalíferos",49
2009-02-01,"Minerales no clasificados previamente",215
2009-02-01,"No metaliferos",87
2009-02-01,"Rocas de aplicación",366
2009-02-01,"Servicios mineros y actividades relacionadas",254
2009-03-01,"Combustibles-Producción",23
2009-03-01,"Litio",3
2009-03-01,"Metalíferos",48
2009-03-01,"Minerales no clasificados previamente",219
2009-03-01,"No metaliferos",86
2009-03-01,"Rocas de aplicación",361
2009-03-01,"Servicios mineros y actividades relacionadas",245
2009-04-01,"Combustibles-Producción",29
2009-04-01,"Litio",3
2009-04-01,"Metalíferos",45
2009-04-01,"Minerales no clasificados previamente",219
2009-04-01,"No metaliferos",86
2009-04-01,"Rocas de aplicación",358
2009-04-01,"Servicios mineros y actividades relacionadas",251
2009-05-01,"Combustibles-Producción",30
2009-05-01,"Litio",3
2009-05-01,"Metalíferos",45
2009-05-01,"Minerales no clasificados previamente",213
2009-05-01,"No metaliferos",87
2009-05-01,"Rocas de aplicación",358
2009-05-01,"Servicios mineros y actividades relacionadas",247
2009-06-01,"Combustibles-Producción",31
2009-06-01,"Litio",4
2009-06-01,"Metalíferos",46
2009-06-01,"Minerales no clasificados previamente",220
2009-06-01,"No metaliferos",87
2009-06-01,"Rocas de aplicación",362
2009-06-01,"Servicios mineros y actividades relacionadas",263
2009-07-01,"Combustibles-Producción",31
2009-07-01,"Litio",4
2009-07-01,"Metalíferos",44
2009-07-01,"Minerales no clasificados previamente",217
2009-07-01,"No metaliferos",86
2009-07-01,"Rocas de aplicación",350
2009-07-01,"Servicios mineros y actividades relacionadas",248
2009-08-01,"Combustibles-Producción",33
2009-08-01,"Litio",5
2009-08-01,"Metalíferos",45
2009-08-01,"Minerales no clasificados previamente",217
2009-08-01,"No metaliferos",86
2009-08-01,"Rocas de aplicación",346
2009-08-01,"Servicios mineros y actividades relacionadas",245
2009-09-01,"Combustibles-Producción",33
2009-09-01,"Litio",5
2009-09-01,"Metalíferos",43
2009-09-01,"Minerales no clasificados previamente",219
2009-09-01,"No metaliferos",86
2009-09-01,"Rocas de aplicación",353
2009-09-01,"Servicios mineros y actividades relacionadas",253
2009-10-01,"Combustibles-Producción",33
2009-10-01,"Litio",5
2009-10-01,"Metalíferos",43
2009-10-01,"Minerales no clasificados previamente",224
2009-10-01,"No metaliferos",87
2009-10-01,"Rocas de aplicación",368
2009-10-01,"Servicios mineros y actividades relacionadas",291
2009-11-01,"Combustibles-Producción",25
2009-11-01,"Litio",4
2009-11-01,"Metalíferos",42
2009-11-01,"Minerales no clasificados previamente",212
2009-11-01,"No metaliferos",85
2009-11-01,"Rocas de aplicación",355
2009-11-01,"Servicios mineros y actividades relacionadas",268
2009-12-01,"Combustibles-Producción",26
2009-12-01,"Litio",5
2009-12-01,"Metalíferos",42
2009-12-01,"Minerales no clasificados previamente",216
